id,company_name,industry,employees,revenue_millions,city,country,founded_year
120,Alpha Systems 22,Technology,35090,355.79,San Francisco,UK,1957
121,Global Inc 17,Technology,19568,434.35,Bangalore,India,1991
122,Smart Ltd 31,Retail,45003,251.35,Berlin,Canada,1986
123,Smart Ltd 71,Real Estate,43711,495.22,Berlin,UK,1967
124,Future Solutions 84,Automotive,20908,41.59,Sydney,Germany,2015
125,Alpha Solutions 94,Energy,35494,300.8,New York,Australia,1978
126,Future Group 75,Finance,26281,18.52,London,Canada,1972
127,Smart Systems 79,Automotive,42237,381.51,San Francisco,USA,1957
128,Future Systems 62,Healthcare,47931,72.92,New York,Canada,1977
129,Eco Group 56,Technology,46329,80.57,New York,USA,1996
130,Omega Inc 44,Energy,2873,397.08,Bangalore,Germany,1982
131,Alpha Systems 69,Finance,26615,215.93,Berlin,UK,1994
132,Eco Group 42,Automotive,22643,482.5,Bangalore,USA,2007
133,Alpha Ltd 15,Retail,46645,493.1,San Francisco,Japan,1989
134,Prime Systems 8,Retail,26695,2.53,Sydney,Canada,2018
135,Future Holdings 61,Automotive,3917,401.73,New York,Australia,2014
136,Omega Solutions 16,Healthcare,22746,387.37,London,USA,1990
137,Prime Solutions 25,Real Estate,31410,374.36,Toronto,UK,1996
138,Eco Corp 66,Healthcare,24340,2.01,New York,Japan,1959
139,Prime Corp 54,Automotive,22370,99.87,Tokyo,India,1977
140,Omega Solutions 12,Finance,38523,309.31,San Francisco,UK,1972
141,Omega Holdings 14,Technology,37605,188.44,San Francisco,Australia,1979
142,Global Solutions 3,Finance,12808,403.94,Berlin,UK,1991
143,Alpha Systems 73,Finance,37985,62.22,Bangalore,UK,1995
144,Alpha Solutions 47,Healthcare,46507,137.04,Berlin,India,1952
145,Eco Solutions 27,Finance,40566,90.03,Tokyo,Australia,1972
146,Smart Inc 60,Real Estate,33273,125.08,Toronto,Canada,2003
147,Smart Corp 87,Healthcare,26002,293.72,Sydney,USA,1991
148,Prime Holdings 26,Retail,43967,260.79,Sydney,Japan,1963
149,Prime Solutions 46,Retail,1585,397.76,Tokyo,India,1950
150,Smart Solutions 39,Real Estate,13904,219.83,Tokyo,India,1954
151,Tech Holdings 44,Technology,18550,192.92,Berlin,Japan,1964
152,Alpha Corp 39,Healthcare,24850,120.64,London,India,1982
153,Prime Holdings 3,Energy,26663,311.23,Tokyo,Australia,1991
154,Future Ltd 12,Energy,47645,176.97,New York,India,1965
155,Smart Group 26,Real Estate,40099,458.86,Tokyo,UK,1975
156,Prime Inc 71,Healthcare,1939,27.64,San Francisco,Canada,1991
157,Omega Holdings 35,Technology,27014,118.67,Sydney,Japan,1998
158,Prime Systems 64,Energy,18391,192.09,London,USA,1969
159,Alpha Systems 26,Technology,12673,319.16,New York,Australia,1971
160,Eco Group 82,Energy,25458,467.67,Toronto,Canada,1965
161,Smart Systems 87,Finance,21666,442.46,Tokyo,UK,2009
162,Alpha Corp 38,Automotive,18068,184.52,Bangalore,UK,2013
163,Prime Group 33,Automotive,38629,75.21,Bangalore,Australia,2021
164,Smart Corp 74,Finance,32855,153.16,London,UK,1966
165,Alpha Solutions 18,Energy,32798,2.17,Sydney,UK,1966
166,Tech Group 94,Technology,6926,394.55,San Francisco,Germany,1996
167,Eco Corp 7,Retail,46581,75.2,Tokyo,Germany,1965
168,Prime Group 59,Technology,19424,440.77,New York,Australia,2014
169,Alpha Corp 20,Retail,40091,62.08,Tokyo,UK,1965
170,Eco Solutions 2,Real Estate,11302,242.12,London,Australia,1976
171,Future Systems 70,Real Estate,13854,23.67,Tokyo,Australia,1964
172,Smart Corp 69,Energy,38231,214.27,Tokyo,India,1986
173,Future Systems 7,Healthcare,23060,256.41,Bangalore,Australia,1985
174,Eco Corp 87,Real Estate,39849,155.12,London,Germany,2000
175,Global Ltd 5,Real Estate,31546,470.94,Bangalore,India,1984
176,Eco Ltd 23,Real Estate,32777,63.87,Berlin,Australia,1960
177,Future Group 40,Healthcare,46205,150.78,New York,USA,2013
178,Omega Corp 64,Energy,18040,491.47,New York,Germany,1990
179,Alpha Ltd 3,Healthcare,23171,83.76,Toronto,Germany,2013
180,Global Holdings 26,Automotive,18207,289.16,Berlin,Germany,2008
181,Global Ltd 78,Healthcare,14928,290.11,New York,Australia,1952
182,Alpha Corp 13,Retail,17387,311.23,Sydney,Japan,1993
183,Omega Ltd 18,Real Estate,48827,25.48,Tokyo,Japan,1970
184,Eco Ltd 36,Real Estate,49215,85.4,Sydney,Germany,2009
185,Prime Holdings 30,Retail,34276,277.41,London,Australia,2013
186,Global Holdings 69,Retail,3767,33.87,Tokyo,Japan,1985
187,Smart Holdings 87,Healthcare,31405,7.32,London,Germany,1997
188,Alpha Corp 72,Healthcare,9055,130.09,San Francisco,India,2008
189,Prime Systems 46,Real Estate,15947,65.73,Sydney,Canada,1977
190,Prime Holdings 21,Real Estate,20859,269.21,Toronto,Australia,1989
191,Omega Holdings 41,Real Estate,49955,307.92,San Francisco,UK,1987
192,Prime Corp 51,Energy,15906,34.74,Sydney,UK,2022
193,Prime Holdings 19,Technology,49942,60.94,Toronto,Australia,2005
194,Global Corp 76,Automotive,6840,227.79,Sydney,India,1956
195,Smart Solutions 55,Healthcare,44727,199.24,New York,India,2021
196,Prime Group 48,Energy,23551,246.41,Bangalore,Japan,1958
197,Eco Ltd 75,Retail,28966,315.5,Toronto,Australia,2002
198,Eco Systems 1,Real Estate,8778,116.79,Toronto,Japan,1973
199,Smart Ltd 22,Energy,27281,238.41,Tokyo,India,1995
200,Tech Inc 18,Healthcare,15790,7.83,Berlin,Canada,1997
201,Global Holdings 4,Automotive,24384,153.44,London,India,1981
202,Global Ltd 46,Automotive,5524,141.54,San Francisco,Japan,1997
203,Omega Inc 7,Real Estate,38555,443.96,New York,Germany,1953
204,Smart Systems 72,Automotive,45006,466.8,Berlin,Canada,2011
205,Prime Group 86,Retail,19627,197.55,San Francisco,USA,1995
206,Eco Group 87,Finance,381,479.06,New York,India,2000
207,Global Group 96,Finance,47124,248.11,San Francisco,India,1976
208,Alpha Solutions 51,Automotive,11565,381.66,Bangalore,USA,1954
209,Omega Solutions 71,Finance,41926,186.82,San Francisco,USA,1960
210,Tech Holdings 54,Retail,11383,211.74,Tokyo,Australia,2018
211,Prime Inc 17,Energy,35427,426.96,London,Japan,2010
212,Global Solutions 56,Healthcare,23218,153.15,Bangalore,Japan,1986
213,Eco Ltd 92,Real Estate,27127,303.99,New York,UK,2004
214,Alpha Systems 82,Retail,4505,163.33,Tokyo,India,2004
215,Eco Ltd 40,Real Estate,22890,144.06,Tokyo,India,1987
216,Prime Systems 72,Healthcare,33101,23.87,New York,Canada,1962
217,Smart Group 83,Energy,11204,391.74,Tokyo,USA,1966
218,Smart Ltd 90,Energy,26712,109.95,San Francisco,Australia,1989
219,Alpha Corp 51,Automotive,10513,80.07,New York,Germany,2020
220,Global Systems 14,Real Estate,48171,439.48,New York,Japan,1979
221,Global Solutions 94,Technology,21572,320.19,Sydney,Canada,1993
222,Eco Solutions 60,Energy,3244,303.82,Berlin,Australia,1986
223,Eco Corp 59,Energy,22898,86.74,San Francisco,India,2002
224,Alpha Systems 35,Energy,30331,152.72,London,UK,1975
225,Alpha Group 38,Automotive,39997,299.02,Bangalore,Japan,1966
226,Tech Corp 45,Technology,41370,379.39,London,Germany,1950
227,Tech Group 28,Finance,9253,460.33,Tokyo,India,1950
228,Eco Group 34,Retail,23422,346.65,Tokyo,Japan,1995
229,Future Inc 74,Healthcare,5924,489.89,Bangalore,Australia,2015
230,Omega Corp 98,Retail,22631,398.07,London,Canada,2017
231,Alpha Corp 55,Technology,19608,361.38,Toronto,UK,2007
232,Alpha Systems 42,Technology,36524,286.04,Berlin,India,1981
233,Global Group 72,Retail,7530,336.69,Sydney,India,2008
234,Prime Group 31,Technology,11574,469.53,San Francisco,Australia,1968
235,Alpha Corp 29,Real Estate,34458,251.71,Tokyo,Germany,1982
236,Future Ltd 57,Energy,3727,92.24,New York,Germany,2013
237,Prime Corp 71,Healthcare,30456,171.68,New York,Japan,1972
238,Alpha Inc 65,Energy,35313,124.41,London,Australia,1992
239,Smart Group 96,Automotive,32857,180.69,Bangalore,USA,1985
240,Tech Systems 87,Finance,38340,82.73,London,Japan,1983
241,Future Holdings 96,Energy,16840,226.1,Bangalore,USA,1950
242,Alpha Holdings 89,Retail,45461,328.54,San Francisco,Germany,2013
243,Alpha Ltd 48,Retail,11280,487.28,Berlin,Germany,1983
244,Global Ltd 33,Technology,47125,181.14,Berlin,Canada,1982
245,Eco Solutions 11,Finance,30183,331.13,Toronto,Australia,1996
246,Omega Group 18,Finance,35388,319.11,Bangalore,Germany,1969
247,Alpha Holdings 41,Real Estate,19833,204.68,Toronto,Canada,1999
248,Global Group 70,Automotive,2943,234.18,New York,Japan,1995
249,Eco Inc 49,Retail,15215,351.25,San Francisco,Japan,1961
250,Future Holdings 11,Real Estate,1389,300.96,Sydney,Canada,2022
251,Eco Systems 26,Healthcare,21986,111.66,London,India,1996
252,Global Solutions 74,Healthcare,11175,317.71,Bangalore,Japan,2016
253,Eco Solutions 76,Energy,18600,78.71,Bangalore,Japan,1972
254,Smart Solutions 95,Automotive,36888,156.67,Berlin,Canada,1970
255,Alpha Ltd 63,Technology,48344,186.94,Tokyo,Canada,1950
256,Prime Inc 42,Healthcare,12112,174.3,Toronto,USA,1966
257,Prime Corp 10,Technology,33329,163.89,New York,Germany,1956
258,Tech Inc 85,Healthcare,4109,324.1,Berlin,Germany,1966
259,Omega Systems 98,Technology,27178,167.82,Toronto,USA,1950
260,Prime Systems 67,Automotive,15619,39.49,Berlin,Germany,1999
261,Future Inc 12,Finance,15438,103.2,San Francisco,Germany,1982
262,Tech Solutions 20,Technology,29812,245.84,San Francisco,USA,2012
263,Omega Systems 44,Finance,5201,377.31,Tokyo,Germany,1984
264,Omega Corp 34,Automotive,49591,133.62,London,Japan,1977
265,Tech Solutions 24,Real Estate,20069,367.63,Sydney,Australia,1954
266,Alpha Inc 20,Retail,20929,159.54,San Francisco,UK,2020
267,Global Systems 7,Finance,27851,350.59,San Francisco,Japan,1954
268,Global Corp 49,Finance,22903,105.74,Berlin,UK,1979
269,Eco Ltd 71,Technology,36026,57.31,New York,India,1958
270,Smart Ltd 95,Retail,9388,335.58,Toronto,India,2008
271,Omega Corp 23,Retail,1154,38.39,Tokyo,Japan,1989
272,Prime Ltd 45,Automotive,32637,423.11,San Francisco,UK,2017
273,Alpha Corp 66,Healthcare,25997,255.81,New York,UK,2012
274,Global Inc 25,Real Estate,33906,375.27,San Francisco,USA,1969
275,Future Inc 78,Technology,22529,255.18,Bangalore,Germany,1994
276,Eco Ltd 72,Healthcare,29374,24.48,Toronto,Germany,1986
277,Prime Ltd 25,Healthcare,11290,296.69,Tokyo,India,1956
278,Alpha Systems 38,Real Estate,26133,375.25,Toronto,India,1983
279,Prime Inc 95,Automotive,8271,499.72,Tokyo,USA,2005
280,Prime Ltd 73,Energy,18317,108.58,Tokyo,Australia,2004
281,Smart Solutions 48,Energy,42372,436.29,Sydney,India,1950
282,Smart Corp 79,Automotive,19174,203.19,Bangalore,Canada,1983
283,Smart Group 10,Energy,33492,114.09,Bangalore,USA,2012
284,Omega Corp 92,Healthcare,5962,363.23,London,Canada,1968
285,Eco Corp 11,Real Estate,43612,135.7,New York,India,2014
286,Prime Solutions 90,Finance,24904,158.06,Sydney,UK,2006
287,Future Ltd 20,Finance,20703,69.09,Sydney,Australia,1997
288,Tech Systems 43,Energy,10292,376.9,New York,Japan,1959
289,Global Solutions 37,Healthcare,42000,425.43,Berlin,Japan,2004
290,Smart Ltd 78,Healthcare,27272,29.03,Sydney,USA,2019
291,Eco Solutions 1,Healthcare,34629,53.6,Toronto,Japan,2002
292,Prime Inc 51,Automotive,13265,92.4,London,Germany,1983
293,Eco Holdings 75,Energy,23595,473.59,Berlin,USA,1961
294,Alpha Inc 41,Retail,30353,238.97,London,USA,2008
295,Global Ltd 92,Energy,24706,188.21,San Francisco,Germany,2002
296,Smart Holdings 5,Healthcare,2029,258.27,London,Japan,1969
297,Smart Corp 46,Finance,33373,83.99,Sydney,Japan,1954
298,Prime Solutions 4,Real Estate,44144,304.25,Tokyo,UK,1964
299,Smart Holdings 67,Finance,9152,273.29,Bangalore,USA,2012
300,Eco Solutions 8,Finance,47792,455.71,Tokyo,Japan,1984
301,Future Ltd 38,Automotive,34884,318.5,Bangalore,UK,2010
302,Future Holdings 32,Healthcare,20469,47.28,New York,UK,1993
303,Smart Corp 83,Healthcare,35753,157.09,San Francisco,Canada,1989
304,Smart Inc 42,Automotive,33092,139.72,London,UK,1979
305,Global Ltd 62,Finance,38100,340.56,Tokyo,Canada,1986
306,Global Corp 2,Real Estate,12029,288.61,Sydney,Australia,2002
307,Tech Solutions 34,Finance,33538,68.72,Berlin,Germany,1989
308,Global Inc 57,Real Estate,41548,278.23,London,UK,2003
309,Eco Solutions 10,Real Estate,24394,348.98,London,India,1974
310,Global Inc 54,Real Estate,28935,57.19,Bangalore,UK,1991
311,Global Holdings 98,Energy,23122,488.56,Toronto,UK,1965
312,Future Ltd 91,Energy,35200,193.31,Tokyo,Canada,1989
313,Prime Solutions 69,Real Estate,1101,489.89,Toronto,UK,1974
314,Global Corp 95,Healthcare,5803,285.0,San Francisco,Canada,1961
315,Alpha Inc 62,Technology,19037,101.26,London,UK,2017
316,Smart Solutions 45,Energy,47667,91.75,Bangalore,Japan,2004
317,Prime Ltd 67,Retail,45772,51.19,Tokyo,Canada,1975
318,Alpha Systems 97,Technology,23154,440.69,New York,UK,1972
319,Omega Inc 88,Energy,41973,197.62,San Francisco,UK,1978
320,Prime Holdings 76,Automotive,22887,351.63,Tokyo,Australia,2005
321,Prime Ltd 15,Healthcare,38862,197.96,Sydney,Australia,1996
322,Eco Systems 77,Automotive,31488,176.55,San Francisco,Canada,1967
323,Omega Holdings 13,Finance,15481,184.97,Toronto,Japan,1982
324,Prime Solutions 91,Finance,7777,400.16,Sydney,USA,1984
325,Prime Holdings 75,Finance,24620,96.11,Berlin,USA,1995
326,Smart Solutions 10,Healthcare,47033,1.37,Sydney,Canada,1972
327,Eco Systems 25,Energy,43146,91.58,San Francisco,Canada,1971
328,Alpha Inc 27,Automotive,4709,47.61,New York,Canada,1971
329,Global Corp 35,Technology,41190,397.38,San Francisco,Canada,2020
330,Eco Group 66,Healthcare,3915,393.12,London,Japan,2006
331,Eco Solutions 29,Technology,29743,245.81,San Francisco,USA,1954
332,Tech Corp 39,Retail,16887,234.24,Tokyo,Canada,1985
333,Alpha Holdings 14,Technology,47213,251.8,Tokyo,India,2001
334,Omega Ltd 79,Finance,26022,390.68,New York,India,1987
335,Smart Inc 93,Healthcare,18303,20.97,New York,Australia,1987
336,Omega Inc 2,Technology,26720,450.96,Sydney,Germany,1987
337,Alpha Holdings 1,Retail,28220,249.57,Tokyo,India,1972
338,Eco Solutions 49,Technology,32131,202.65,Tokyo,USA,2016
339,Tech Inc 95,Healthcare,18453,488.77,San Francisco,Australia,1962
340,Tech Ltd 30,Finance,44074,232.48,Tokyo,Japan,1955
341,Eco Group 46,Automotive,25285,344.69,London,Germany,1980
342,Prime Solutions 55,Energy,24235,377.84,Toronto,Canada,1991
343,Tech Inc 82,Retail,44023,373.14,Bangalore,Germany,2009
344,Future Solutions 61,Automotive,19574,432.34,Berlin,Australia,2003
345,Alpha Group 35,Healthcare,39017,54.75,Berlin,USA,1996
346,Alpha Inc 39,Healthcare,48448,345.6,New York,UK,2015
347,Eco Group 73,Finance,38659,64.53,New York,Germany,1966
348,Prime Ltd 73,Technology,26492,481.3,Berlin,Japan,2023
349,Prime Solutions 3,Automotive,5748,59.11,Sydney,India,1965
350,Omega Inc 17,Retail,196,144.38,Tokyo,UK,1969
351,Global Inc 93,Healthcare,19888,433.37,London,Canada,1997
352,Smart Holdings 35,Retail,35471,255.75,San Francisco,Germany,1975
353,Prime Holdings 91,Energy,32376,26.31,Toronto,Japan,2019
354,Eco Holdings 65,Healthcare,20047,480.76,Bangalore,Japan,1962
355,Tech Group 79,Automotive,1834,166.97,Bangalore,Canada,1976
356,Eco Systems 6,Retail,41696,87.33,Tokyo,Canada,1991
357,Smart Ltd 86,Healthcare,43940,407.1,London,Australia,1958
358,Smart Group 28,Retail,13879,23.51,London,USA,1956
359,Smart Corp 54,Healthcare,8056,11.4,Bangalore,Japan,1988
360,Alpha Group 37,Finance,16787,428.49,Tokyo,Germany,1987
361,Tech Ltd 90,Energy,24004,450.51,San Francisco,Canada,2018
362,Omega Ltd 16,Retail,18932,459.18,Toronto,UK,1957
363,Global Ltd 80,Real Estate,11697,396.75,Tokyo,India,1979
364,Alpha Corp 65,Finance,5186,306.76,San Francisco,UK,1994
365,Alpha Inc 55,Energy,13186,210.23,San Francisco,India,1967
366,Tech Holdings 56,Technology,15067,496.68,Berlin,Canada,1963
367,Eco Inc 5,Technology,14770,481.83,London,Australia,1952
368,Eco Inc 28,Healthcare,43040,390.85,Berlin,Japan,1987
369,Smart Inc 33,Real Estate,15026,255.42,San Francisco,Canada,2010
370,Global Holdings 44,Technology,47614,297.46,London,Germany,2009
371,Tech Solutions 11,Healthcare,20878,173.07,Sydney,USA,1954
372,Smart Ltd 32,Energy,9945,351.38,Tokyo,Germany,1982
373,Prime Solutions 95,Technology,35058,499.34,London,India,2016
374,Prime Group 80,Healthcare,38295,31.55,London,Germany,1981
375,Future Solutions 24,Finance,39315,142.18,London,Australia,2010
376,Future Holdings 12,Technology,26825,49.85,Berlin,Germany,1995
377,Alpha Ltd 60,Automotive,41754,376.81,Bangalore,Australia,2001
378,Eco Group 93,Automotive,24731,73.5,London,Germany,2022
379,Smart Systems 43,Finance,33459,170.3,Toronto,Germany,2020
380,Alpha Corp 36,Automotive,29202,126.84,Bangalore,India,1989
381,Global Inc 39,Retail,17042,70.1,Toronto,India,1997
382,Prime Systems 91,Technology,33347,451.4,Sydney,Germany,1968
383,Alpha Corp 11,Finance,42847,113.85,San Francisco,India,1965
384,Tech Holdings 70,Healthcare,15723,259.6,Berlin,Japan,2018
385,Global Solutions 95,Healthcare,12447,132.77,New York,UK,2023
386,Omega Holdings 10,Technology,21739,106.83,New York,USA,2003
387,Tech Corp 86,Technology,17242,289.73,Tokyo,Germany,1977
388,Eco Systems 52,Healthcare,21753,71.64,Toronto,Canada,2011
389,Tech Group 39,Real Estate,24371,352.78,Tokyo,India,1983
390,Smart Solutions 9,Real Estate,35091,34.5,Sydney,Germany,2007
391,Omega Group 40,Energy,22447,209.6,Berlin,Canada,2000
392,Omega Ltd 86,Real Estate,10699,87.59,London,Germany,2018
393,Omega Group 14,Real Estate,15649,428.51,Berlin,Germany,1985
394,Eco Group 47,Real Estate,10473,254.36,Bangalore,Australia,1965
395,Tech Solutions 89,Technology,23406,418.3,New York,Australia,1981
396,Eco Ltd 28,Healthcare,2207,338.7,Tokyo,Canada,1972
397,Prime Inc 95,Real Estate,14298,292.83,San Francisco,Germany,2020
398,Tech Corp 8,Finance,36666,362.9,New York,India,1987
399,Smart Corp 96,Retail,18889,16.2,New York,Australia,1959
400,Prime Systems 82,Retail,22830,350.02,San Francisco,Japan,2011
401,Tech Ltd 34,Technology,17517,96.12,London,India,2014
402,Prime Corp 58,Healthcare,36779,272.91,New York,UK,1973
403,Tech Corp 51,Retail,36028,352.51,Toronto,Australia,2007
404,Smart Corp 18,Automotive,46135,3.63,Sydney,UK,1982
405,Omega Corp 47,Finance,8300,356.97,Sydney,USA,1970
406,Global Ltd 32,Technology,7847,201.97,Tokyo,Canada,2009
407,Eco Inc 97,Automotive,48233,240.96,Bangalore,Australia,2004
408,Tech Inc 13,Retail,44334,326.79,Bangalore,USA,1977
